id_zmienna;zmienna;id_przekroj;nazwa_przekroj;id_jednostka_terytorialna;jednostka_terytorialna;id_typ_informacji;typ_informacji;id_wymiar_2;nazwa_wymiar_2;id_pozycja_2;nazwa_pozycja_2;id_wymiar_3;nazwa_wymiar_3;id_pozycja_3;nazwa_pozycja_3;id_wymiar_4;nazwa_wymiar_4;id_pozycja_4;nazwa_pozycja_4;id_wymiar_5;nazwa_wymiar_5;id_pozycja_5;nazwa_pozycja_5;id_wymiar_6;nazwa_wymiar_6;id_pozycja_6;nazwa_pozycja_6;id_wymiar_7;nazwa_wymiar_7;id_pozycja_7;nazwa_pozycja_7;id_wymiar_8;nazwa_wymiar_8;id_pozycja_8;nazwa_pozycja_8;id_wymiar_9;nazwa_wymiar_9;id_pozycja_9;nazwa_pozycja_9;id_okres;id_daty;opis_okres;wartosc;oznaczenie_braku_wartosci;nazwa_braku_wartosci;oznaczenie_tajnosci;nazwa_tajnosci;oznaczenie_flagi;nazwa_flaga;notka
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;247;2018;2018 M01;108,7;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;248;2018;2018 M02;107,3;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;249;2018;2018 M03;101,6;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;2018;2018 M04;109,3;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251;2018;2018 M05;105,2;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252;2018;2018 M06;106,7;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;253;2018;2018 M07;110,3;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;254;2018;2018 M08;105;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;255;2018;2018 M09;102,7;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256;2018;2018 M10;107,4;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;257;2018;2018 M11;104,6;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;258;2018;2018 M12;102,9;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;247;2019;2019 M01;106;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
