id_zmienna;zmienna;id_przekroj;nazwa_przekroj;id_jednostka_terytorialna;jednostka_terytorialna;id_typ_informacji;typ_informacji;id_wymiar_2;nazwa_wymiar_2;id_pozycja_2;nazwa_pozycja_2;id_wymiar_3;nazwa_wymiar_3;id_pozycja_3;nazwa_pozycja_3;id_wymiar_4;nazwa_wymiar_4;id_pozycja_4;nazwa_pozycja_4;id_wymiar_5;nazwa_wymiar_5;id_pozycja_5;nazwa_pozycja_5;id_wymiar_6;nazwa_wymiar_6;id_pozycja_6;nazwa_pozycja_6;id_wymiar_7;nazwa_wymiar_7;id_pozycja_7;nazwa_pozycja_7;id_wymiar_8;nazwa_wymiar_8;id_pozycja_8;nazwa_pozycja_8;id_wymiar_9;nazwa_wymiar_9;id_pozycja_9;nazwa_pozycja_9;id_okres;id_daty;opis_okres;wartosc;oznaczenie_braku_wartosci;nazwa_braku_wartosci;oznaczenie_tajnosci;nazwa_tajnosci;oznaczenie_flagi;nazwa_flaga;notka
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;247;2011;2011 M01;109,7;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;248;2011;2011 M02;110,5;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;249;2011;2011 M03;106,2;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;2011;2011 M04;106,5;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251;2011;2011 M05;107,9;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252;2011;2011 M06;102,5;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;253;2011;2011 M07;101,7;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;254;2011;2011 M08;107,7;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;255;2011;2011 M09;107;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
814;Produkcja sprzedana przemysłu;807;"Polska; Przemysł - sekcje i działy PKD";33617;POLSKA;7;analogiczny okres roku poprzedniego=100 ceny stałe [-];711;Przemysł - sekcje i działy PKD;6661769;GR68813 - Przemysł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256;2011;2011 M10;106,3;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
